Country,City,Latitude,Longitude,Type
Abkhazia,Sukhum,43.03325,40.973741,Russian Embassy
Afghanistan,Kabul,34.44606,69.179655,Russian Embassy
Afghanistan,Mazar-i-Sharif,36.680516,67.073313,Consulate General of Russia
Albania,Tirana,41.336965,19.818542,Russian Embassy
Algeria,Algeria,36.716468,3.013408,Russian Embassy
Algeria,Annaba,36.863463,7.751697,Consulate General of Russia
Angola,Luanda,-8.895061,13.291186,Russian Embassy
Argentina,Buenos Aires,-34.601072,-58.461442,Russian Embassy
Armenia,Yerevan,40.15816,44.506007,Russian Embassy
Armenia,Gyumri,40.798258,43.865607,Consulate General of Russia
Australia,Canberra,-35.326909,149.113294,Russian Embassy
Australia,Sydney,-33.956683,151.025287,Consulate General of Russia
Austria,Vienna,48.191635,16.342457,Russian Embassy
Austria,Salzburg,47.801478,13.034797,Consulate General of Russia
Azerbaijan,Baku,40.420104,49.977852,Russian Embassy
Bahrain,Manama,26.15865,50.52356,Russian Embassy
Bangladesh,Dacca,23.777356,90.467751,Russian Embassy
Bangladesh,Chittagong,22.339458,91.841168,Consulate General of Russia
Belgium,Brussels,50.842215,4.373259,Russian Embassy
Belgium,Antwerp,51.225498,4.424499,Consulate General of Russia
Benin,Cotonou,6.326167,2.426583,Russian Embassy
Bolivia,La Paz,-16.464534,-68.147311,Russian Embassy
Bosnia and Herzegovina,Sarajevo,43.858222,18.395673,Russian Embassy
Botswana,Gaborone,-24.641597,26.066811,Russian Embassy
Brazil,Brazilia,-15.878998,-47.934526,Russian Embassy
Brazil,Rio de Janeiro,-22.810891,-43.389751,Consulate General of Russia
Brazil,Sao Paulo,-23.983655,-46.507152,Consulate General of Russia
Brunei,Bandar Seri Begawan,4.830506,114.860236,Russian Embassy
Bulgaria,Sofia,42.692168,23.324029,Russian Embassy
Bulgaria,Varna,43.222666,27.934246,Consulate General of Russia
Bulgaria,Ruse,43.864526,25.98715,Consulate General of Russia
Burundi,Bujumbura,-3.351373,29.351922,Russian Embassy
Byelorussia,Minsk,53.903498,27.561741,Russian Embassy
Byelorussia,Brest,52.117938,23.704591,Consulate General of Russia
Cambodia,Phnom Penh,11.521973,104.912059,Russian Embassy
Cameroon,Yaounde,3.818374,11.548211,Russian Embassy
Canada,Ottawa,45.328624,-75.70332,Russian Embassy
Canada,Montreal,45.517199,-73.664081,Consulate General of Russia
Canada,Toronto,43.691014,-79.427061,Consulate General of Russia
Cape Verde,Pry,14.947433,-23.535474,Russian Embassy
CAR,Bangui,4.322027,18.552897,Russian Embassy
Chad,Ndjamena,12.112004,15.094868,Russian Embassy
